cavename,complete_lcc_n,complete_lcc_m,branch_n,branch_m,total_euclidean_branch_length,total_curvilinear_branch_length,mean_branch_euclidean_length,mean_branch_curvilinear_length,mean_branch_tortuosity,max_branch_tortuosity,rho_A_d,rho_A_l,lambda2_L_d,lambda2_L_l,graph_energy_d,laplacian_energy_d,estrada_index_d,kirchhoff_index_d,log10_spanning_trees_d,graph_energy_l,laplacian_energy_l,estrada_index_l,kirchhoff_index_l,log10_spanning_trees_l,heat_trace_t_0.01_d,heat_trace_t_0.1_d,heat_trace_t_1_d,heat_trace_t_10_d,heat_trace_t_0.01_l,heat_trace_t_0.1_l,heat_trace_t_1_l,heat_trace_t_10_l,rho_ratio_d_over_l,spectral_tortuosity_lambda2_ratio,kirchhoff_ratio_l_over_d,energy_log_ratio_d_over_l,laplacian_energy_log_ratio_d_over_l,estrada_log_ratio_d_over_l,delta_log10_spanning_trees_d_minus_l,edge_csv,node_pos_csv,complete_lcc_vertex_limit,full_spectrum_dense_limit_branch_n
011_BreznoNaToscu_000,361,360,38,37,1398.0542563280198,1870.4874738032602,37.78525017102756,50.55371550819622,1.2317639507390512,1.7749766073723692,0.24145563213815133,0.24044126371623906,0.00029621866464943326,0.00021619385009082466,3.650785584239924,4.594652297764066,38.28046839850669,237243.81196225967,-50.51249241239439,3.395872679822807,4.281003750930651,38.24454406005728,326112.7547627837,-53.57592557149151,37.95143316818423,37.52072744930044,33.77519003253617,19.435433383304314,37.955936934511804,37.56482190358662,34.13545294273531,20.486962942625937,1.0042187784502306,1.3701530571983873,1.3745890864991714,0.07238159646690705,0.07070557990891878,0.000938891479641636,3.063433159097123,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\011_BreznoNaToscu_000\clean_graph_csv\011_BreznoNaToscu_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\011_BreznoNaToscu_000\clean_graph_csv\011_BreznoNaToscu_000_node_pos.csv,1000000000,2000
012_PokljuskegaGrebena_000,1509,1520,290,301,6219.159056964789,7819.544009467084,20.66165799656076,25.978551526468717,1.220639477107352,3.3988729455497877,0.960839795007147,0.9572384865854906,4.2158854052471124e-05,3.452148146585031e-05,47.75262420541551,70.85030860710084,299.44409036804274,16798385.869844448,-309.8606597601381,43.064148791488506,64.21633401306157,298.1772252782546,20857953.668098032,-331.8463879866865,289.26282224212775,282.8575487537305,235.37736052009313,113.97468804991574,289.34457845197005,283.6393353756279,240.6610998416649,123.44479494408915,1.003762185152524,1.2212353659901858,1.2416641592655102,0.10334318622077472,0.0983117196933302,0.004239698130847577,21.985728226548417,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\012_PokljuskegaGrebena_000\clean_graph_csv\012_PokljuskegaGrebena_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\012_PokljuskegaGrebena_000\clean_graph_csv\012_PokljuskegaGrebena_000_node_pos.csv,1000000000,2000
013_BurringtonCombe_000,520,538,178,196,947.7621270393071,1223.6914269732556,4.835521056322995,6.243323607006406,1.2564409006885129,4.073069851370271,1.4650875340723497,1.2321442729888767,0.0009795283362626361,0.0007094502041453529,71.96351798166626,101.83579125454278,207.33160163944973,754497.902165734,-94.41207122365255,64.11722116506766,90.16092085247837,200.8161279963966,1015311.0024346914,-107.81665578023107,176.80555103701636,166.78102607591376,109.39733673705695,33.91702517577087,176.95652401695042,168.1329112157494,115.01322469944186,38.59914955401833,1.189055183057752,1.3806865239296617,1.3456777010516683,0.11544630713860324,0.12176554314190746,0.03192974851553238,13.404584556578527,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\013_BurringtonCombe_000\clean_graph_csv\013_BurringtonCombe_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\013_BurringtonCombe_000\clean_graph_csv\013_BurringtonCombe_000_node_pos.csv,1000000000,2000
014_CheddarCatchment_000,1541,1565,171,195,2770.87112485965,3478.9686217764342,14.209595512100769,17.840864727058637,1.2119415088405219,6.1819583387007535,10.000006384870517,10.000003873308755,0.00031635753067827196,0.00024078827099408028,56.62582180723396,77.09786071221963,22202.89915659924,1742357.969173942,-141.04538242792327,54.206904350049115,74.76987508731641,22202.13106312752,2160380.091757987,-151.36906182610429,170.2275168761312,164.42054519748496,127.39139467287325,50.151863026639276,170.2743247742849,164.8664468006536,130.3006199210302,54.80736419060114,1.0000002511560788,1.3138411159821382,1.2399174738944323,0.04365680998502135,0.030660468876380836,3.459488566928943e-05,10.323679398181014,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\014_CheddarCatchment_000\clean_graph_csv\014_CheddarCatchment_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\014_CheddarCatchment_000\clean_graph_csv\014_CheddarCatchment_000_node_pos.csv,1000000000,2000
015_CountyClare_000,1596,1624,191,219,4990.776048639362,6191.7218908198265,22.788931728946856,28.27270269780743,1.1768416587646504,2.718370328811934,1.0187936045250463,1.0184960940543701,4.840929073554848e-05,3.919785090838416e-05,38.103112272946085,50.67787874411377,198.9011534720234,8855248.26206415,-193.47764828781106,34.97942012687396,47.46838807371191,198.05626615846575,10843931.530475829,-204.43193969575714,190.44347001059765,185.61540507896302,150.29712640696516,68.38652229066693,190.48991284034867,186.05960761849997,153.283835565157,72.75192804286021,1.0002921076206506,1.2349985933844667,1.2245767944114216,0.08553607357370224,0.06542552344912198,0.004256822256459229,10.954291407946073,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\015_CountyClare_000\clean_graph_csv\015_CountyClare_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\015_CountyClare_000\clean_graph_csv\015_CountyClare_000_node_pos.csv,1000000000,2000
016_CountyMayo_000,114,115,28,29,348.11765955799,428.10290342812857,12.004057226137586,14.76216908372857,1.2470846791104893,2.282502038475098,2.393163230778358,2.390411617057759,0.0016183479132176116,0.0012911372746643582,12.825419415566827,16.75459135041844,39.37762479924628,31185.370652323658,-21.256804344742722,12.260862664935608,16.21614947665047,39.1076920536744,38533.44989141724,-23.25377607865368,27.83793930050382,26.52152488050654,19.56348617895441,8.485300505075205,27.849355194311393,26.62759424705305,20.18148094921548,9.3865134448834,1.0011511045633161,1.2534282333676057,1.235625842675244,0.04501680127041073,0.032664704225507886,0.0068785811337545265,1.9969717339109572,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\016_CountyMayo_000\clean_graph_csv\016_CountyMayo_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\016_CountyMayo_000\clean_graph_csv\016_CountyMayo_000_node_pos.csv,1000000000,2000
017_LittleNeathRiver_000,797,818,164,185,6629.873552617378,7955.905190196754,35.83715433847231,43.00489291998245,1.1596606533415603,2.5368626132455145,0.48349980521813735,0.4760099735974159,4.200443876793533e-05,3.695902315012573e-05,16.71684853928432,24.241424569417962,165.87831369038588,7715616.851973805,-207.6672765063574,15.61975066209251,22.81697608259641,165.71085671097393,9028463.116978792,-216.56319598351652,163.74298193275575,161.4769686865032,142.6936073896088,78.16716585798392,163.7626981111523,161.6692093997837,144.20986455099796,81.90137988984168,1.01573461069338,1.1365137708676816,1.1701544141177949,0.06788092384857676,0.06055810490416221,0.0010100269164113782,8.895919477159111,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\017_LittleNeathRiver_000\clean_graph_csv\017_LittleNeathRiver_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\017_LittleNeathRiver_000\clean_graph_csv\017_LittleNeathRiver_000_node_pos.csv,1000000000,2000
018_Lathkill_000,388,389,58,59,1882.110211617538,2218.7490999000447,31.900173078263354,37.60591694745838,1.190607736567863,2.213875463129902,1.3136209977971143,1.3100317521876024,0.0002696681914549506,0.0002228054574752672,10.922169420354223,16.6386636526934,61.58330944939246,458527.6657718394,-65.94920924687152,10.541559112197916,15.98268754086343,61.48027348711625,553775.9510266156,-69.84583104881135,57.84528754605935,56.52488656740655,47.656459102037154,25.385279641180382,57.85596652698528,56.62664125772114,48.361909183894774,27.16432251189563,1.0027398157361593,1.210330278758479,1.2077263649826773,0.03546915992103906,0.04022301510668745,0.001674516276768563,3.8966218019398298,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\018_Lathkill_000\clean_graph_csv\018_Lathkill_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\018_Lathkill_000\clean_graph_csv\018_Lathkill_000_node_pos.csv,1000000000,2000
019_Loser_000,20592,21060,4831,5288,114531.69052432045,145514.19476080162,21.65879170278375,27.517812927534347,1.2153967254406626,7.861152567072399,3.1747262424704408,3.174658130641224,,,,,,,,,,,,,,,,,,,,,1.000021454854795,,,,,,,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\019_Loser_000\clean_graph_csv\019_Loser_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\019_Loser_000\clean_graph_csv\019_Loser_000_node_pos.csv,1000000000,2000
020_Vanoise_000,471,484,83,96,1577.4118944914712,2063.6743060292392,16.431373900952824,21.49660735447124,1.2696363024308914,2.496628342419413,1.1308755680016147,1.115800118889918,0.00029440879352381764,0.00022640289962406394,16.650585268914103,22.199307042062983,87.09682877688321,582794.8182086103,-80.93701505570675,14.739692569208382,19.899452428504176,86.53885015774479,767369.988130264,-88.70327786521136,82.75741727928057,80.66338106361668,65.72059936133685,29.73774362093381,82.78969009491792,80.9718460428685,67.80642249818888,33.070356856952486,1.013510886812501,1.3003755429487682,1.316706950979762,0.12190133745691946,0.10936885887326815,0.006427026326007659,7.76626280950461,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\020_Vanoise_000\clean_graph_csv\020_Vanoise_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\020_Vanoise_000\clean_graph_csv\020_Vanoise_000_node_pos.csv,1000000000,2000
021_Glacier_000,900,939,195,234,3542.8080471204266,4411.430911097847,15.140205329574473,18.852268850845498,1.2326193449763496,3.83468736888758,0.6390812763715741,0.6228227261190998,0.0003882793737131849,0.00032328998990313075,29.972596061433173,42.21829965984455,199.66155096614327,1817481.7181765598,-183.8590939880681,26.517102454807073,37.815555554450825,198.77194204772172,2243056.466362043,-198.7695602731394,194.50058549315779,190.13150352641645,156.20489275934347,65.9816824292717,194.563568630506,190.73677245043532,160.44785084353325,72.87157382724041,1.0261046194537307,1.2010250420358741,1.2341562745469885,0.12249359910024646,0.1101332276974673,0.004465540233593727,14.910466285071294,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\021_Glacier_000\clean_graph_csv\021_Glacier_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\021_Glacier_000\clean_graph_csv\021_Glacier_000_node_pos.csv,1000000000,2000
022_CombeBryon_000,606,615,62,71,3386.6289685277343,4198.192244781327,47.69899955672865,59.129468236356715,1.238486777377175,2.4953441651145454,0.45806800967818717,0.44645677300435094,0.00013767383770514193,0.00010913125613245323,6.414274194250632,10.18550035988618,62.805560977353664,895849.3815385263,-83.98198041465902,5.447317565623934,8.739687636867016,62.625059728580155,1116523.008367441,-89.04088036605822,61.90284650058598,61.04858458893951,54.14277460296241,32.40842321545398,61.91726376246498,61.188184757283366,55.179676137668174,34.551370460412095,1.026007527214114,1.2615435997368747,1.2463289380743123,0.1634025519784984,0.1530907260687884,0.002878106994227218,5.058899951399198,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\022_CombeBryon_000\clean_graph_csv\022_CombeBryon_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\022_CombeBryon_000\clean_graph_csv\022_CombeBryon_000_node_pos.csv,1000000000,2000
023_Charbonniere_000,21,20,4,3,59.90509454350155,116.89169594129785,19.96836484783385,38.963898647099285,1.364331011530428,2.0929930345912835,0.3648852327231592,0.3644960124502746,0.025142910667685658,0.012121047644997732,0.7297704654463184,1.0379735359534288,4.134625020274955,179.71528363050476,-2.8954242367873597,0.7289920249005492,1.0339737826616666,4.134334795467006,350.6750878238936,-3.2161920198113765,3.9893463991125904,3.8964650549423303,3.2037699880807304,1.854263508620904,3.989546148414073,3.8984130675263016,3.219757180843839,1.9624520913270793,1.0010678313605357,2.0743182771055233,1.9512813865340624,0.0010672616341734515,0.0038608686855000213,7.019620714940942e-05,0.32076778302401676,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\023_Charbonniere_000\clean_graph_csv\023_Charbonniere_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\023_Charbonniere_000\clean_graph_csv\023_Charbonniere_000_node_pos.csv,1000000000,2000
024_Lajoux_000,327,326,59,58,1033.0779369325446,1305.8261355011903,17.811688567802495,22.514243715537763,1.1923734866069002,1.935276800153718,0.6073278758945948,0.5830430087696168,0.0005224882202863306,0.00037912471782607923,9.02453981795269,13.081578725217959,60.50060113788227,284821.84630146105,-62.15253041373883,8.285887722987114,12.105402428157804,60.30207682918736,375999.304320929,-66.17623612456919,58.86035699645617,57.64156653438048,48.32549971337576,23.143411495251197,58.8742557588962,57.77487023974737,49.24921199681159,24.921442951645723,1.0416519309205436,1.3781433805801562,1.320121013199823,0.08539371986170789,0.07755320176696182,0.0032867563990039614,4.023705710830356,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\024_Lajoux_000\clean_graph_csv\024_Lajoux_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\024_Lajoux_000\clean_graph_csv\024_Lajoux_000_node_pos.csv,1000000000,2000
026_PuitsWilly_000,33,32,4,3,95.21972455745461,110.58300360238479,31.739908185818205,36.86100120079493,1.155532091654572,1.2727722779010102,0.1122787040667494,0.10111934810458792,0.022676984361316058,0.019792454119672873,0.2245574081334988,0.3326746701973009,4.012619756622417,285.6591736723638,-4.225363654886033,0.2022386962091758,0.30014001460657347,4.010233838292223,331.7490108071544,-4.41044771827568,3.9969085245691693,3.9693607783882037,3.719136763975045,2.5345292320008967,3.9972587082659503,3.972808090019255,3.748711275175309,2.630960446279412,1.1103582664577638,1.1457388873659726,1.1613455522617075,0.10468272582217047,0.10291596492955962,0.0005947804910822219,0.1850840633896471,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\026_PuitsWilly_000\clean_graph_csv\026_PuitsWilly_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\026_PuitsWilly_000\clean_graph_csv\026_PuitsWilly_000_node_pos.csv,1000000000,2000
027_CreuxDEntier_000,282,286,52,56,1038.5404970363368,1397.9133233721707,18.545366018506012,24.96273791736019,1.322361592076628,2.3064215541623567,0.33213090458495426,0.31469683497740586,0.0014954544735465412,0.0011789320800699439,4.9504027835963935,6.844056273752045,52.42387289288538,119531.08196794683,-58.132948058266116,4.120549733689206,5.79686141905662,52.31933691373488,158822.42608441348,-63.81495885893087,51.91791605448624,51.19130656935601,44.9692515902335,22.263593416337528,51.932956967914784,51.33839588783973,46.15869244796783,25.156970485371524,1.0553995708561863,1.2684822975194794,1.3287123605808482,0.1834823587262539,0.16606394190371443,0.001996043734980051,5.682010800664756,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\027_CreuxDEntier_000\clean_graph_csv\027_CreuxDEntier_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\027_CreuxDEntier_000\clean_graph_csv\027_CreuxDEntier_000_node_pos.csv,1000000000,2000
