cavename,n,m,spectral_radius,algebraic_connectivity,normalized_algebraic_connectivity,graph_energy,laplacian_energy,estrada_index,kirchhoff_index,num_spanning_trees
Mandra,152,152,2.4120841917154743,0.00071858,0.000361224,190.57720701782372,200.23552636491294,350.18206850276493,381004.60000006383,5
Argent,86,86,2.348096409421275,0.004487885,0.002329812,107.80188597832756,113.63015719117486,198.28585500315342,49372.10526316022,19
Cheminee,979,984,2.3744472648039854,3.212265271057003e-05,1.6047605023888964e-05,1242.8861303639546,1265.3398284211105,2250.124795835443,61650546.65682966,222030960
Carcabon,1052,1051,2.4196994095158617,2.5695444676099505e-05,1.2875321703820278e-05,1323.3589628521286,1376.225913906026,2415.9724695491805,81619008.99970433,1
Serreno,465,470,2.6101137893999535,0.000273479,0.000137009,580.1726921453957,626.9699008332657,1088.0567094234736,4364146.118388102,3265328
Yeux,190,189,2.575248553309347,0.000572461,0.00028949,233.43903969351874,258.13394793796095,441.5797165072154,602123.9999993405,1
TorcaAitken,1010,1014,2.8350761285712425,5.784096354553766e-05,2.89483832427446e-05,1262.548537141858,1343.849454141925,2342.0104808407023,40895555.35285928,26928
CuevaCarrera,1020,1028,2.5608013022840597,6.585141445572686e-05,3.282330973483341e-05,1274.1353778037808,1368.1033560319477,2375.223367634723,34325900.45478392,1228219200
Pasillo,913,916,2.3102035289193434,5.821882635667233e-05,2.9205236948570393e-05,1150.8318186666197,1195.8537087917457,2102.7360803161882,41347061.19,1533172
CuevaPollita,255,258,2.3292512444272955,0.001493427,0.000751243,321.8766353600006,336.6986914151489,591.7118153663768,664481.4673563943,1768413
Lastrias,172,171,2.297639926899711,0.000620049,0.000314564,216.7894651580055,223.19480006886636,393.05880857599453,536001.0000002617,1
CuevaTonia,266,265,2.3094810726203017,0.000264262,0.000133159,334.46830151269205,346.4846050208174,608.8704793038105,1847493.0000018715,1
Cubillo,1001,1003,2.5525989369935793,4.058454202558995e-05,2.0340945007759855e-05,1256.4240235709408,1319.7853365461626,2309.972615,53237855.20266621,672
CuevaHelguera,349,349,2.419191621766549,0.000217483,0.000109517,439.3707477,458.70478542241597,804.1136709009975,3486791.333337554,9
Requiem,156,155,2.404890151951855,0.000515113,0.000260861,195.40484664381393,203.55416711674454,357.27688140032126,495954.99999996583,1
CoumeBere,284,283,2.3049708726187252,0.000196577,9.905411534357489e-05,357.01595026070527,369.46229841482034,650.1062862503005,2648819.9999896926,1
PerteYerse,207,206,2.2829466400537206,0.000364879,0.000184332,259.1159079781901,272.5603508379869,474.78989853475633,1002405.9999999917,1
Queou,548,550,2.409018779660948,6.698912729752943e-05,3.326987377270215e-05,685.9286590206937,725.1946022390291,1267.470244580135,15252708.29088733,660
Crolles,7809,7924,2.638120997182104,5.715337797710663e-06,2.8375327266067164e-06,9904.979416,10246.048273664866,18148.494923555267,5883308750,9052875523501540757703251899311129949753642147720609286955736783456115002574849479461137745761885163419884364258600302343069630859461261262848
Som,585,585,2.3236698190473213,9.346961908678108e-05,4.690672672825753e-05,739.3879665706751,756.8639850283291,1340.7672813577606,15985951.875010826,16
Flaine,128,127,2.3242971103661256,0.00093642,0.00047602,158.08937766425032,171.54716765557967,294.26877096095734,247724.99999993705,1
Larra,6282,6335,2.8250174990155625,2.7823415744259367e-06,1.383356211169758e-06,7931.270975029058,8241.869057652086,14568.27674648036,5892973499.014233,3073952153763078391331296348573099696464376704794624
Kelmend,128,127,2.1213203493565014,0.000925993,0.000471572,161.01214086080427,165.3014760346315,291.37840929333026,278866.99999983725,1
